month,country,product_line,target_revenue,target_collection_rate
2025-07-01,Austria,Core Policy,99417.25,0.882
2025-07-01,Austria,Claims Analytics,126096.31,0.826
2025-07-01,Austria,Risk Platform,73919.54,0.847
2025-07-01,Austria,Service Desk,77816.71,0.838
2025-07-01,Switzerland,Core Policy,66599.04,0.852
2025-07-01,Switzerland,Claims Analytics,98185.11,0.938
2025-07-01,Switzerland,Risk Platform,82520.85,0.932
2025-07-01,Switzerland,Service Desk,109117.02,0.895
2025-08-01,Germany,Core Policy,109751.78,0.872
2025-08-01,Germany,Claims Analytics,53665.93,0.827
2025-08-01,Germany,Risk Platform,146515.91,0.82
2025-08-01,Germany,Service Desk,104328.78,0.877
2025-08-01,France,Core Policy,77074.4,0.9
2025-08-01,France,Claims Analytics,108717.35,0.908
2025-08-01,France,Risk Platform,65482.85,0.892
2025-08-01,France,Service Desk,57370.18,0.825
2025-08-01,Netherlands,Core Policy,77029.23,0.859
2025-08-01,Netherlands,Claims Analytics,50294.85,0.846
2025-08-01,Netherlands,Risk Platform,88537.22,0.926
2025-08-01,Netherlands,Service Desk,77012.01,0.846
2025-08-01,Austria,Core Policy,64947.24,0.842
2025-08-01,Austria,Claims Analytics,86203.28,0.928
2025-08-01,Austria,Risk Platform,68866.32,0.938
2025-08-01,Austria,Service Desk,60081.06,0.824
2025-08-01,Switzerland,Core Policy,68112.88,0.918
2025-08-01,Switzerland,Claims Analytics,81116.67,0.847
2025-08-01,Switzerland,Risk Platform,92668.85,0.895
2025-08-01,Switzerland,Service Desk,65422.21,0.928
2025-09-01,Germany,Core Policy,88967.75,0.885
2025-09-01,Germany,Claims Analytics,91912.96,0.881
2025-09-01,Germany,Risk Platform,93986.21,0.938
2025-09-01,Germany,Service Desk,88354.25,0.899
2025-09-01,France,Core Policy,77518.1,0.828
2025-09-01,France,Claims Analytics,70675.12,0.927
2025-09-01,France,Risk Platform,50115.91,0.894
2025-09-01,France,Service Desk,103496.54,0.864
2025-09-01,Netherlands,Core Policy,112995.47,0.898
2025-09-01,Netherlands,Claims Analytics,96280.61,0.912
2025-09-01,Netherlands,Risk Platform,80269.03,0.92
2025-09-01,Netherlands,Service Desk,77454.78,0.831
2025-09-01,Austria,Core Policy,108079.75,0.896
2025-09-01,Austria,Claims Analytics,100506.22,0.836
2025-09-01,Austria,Risk Platform,100266.2,0.922
2025-09-01,Austria,Service Desk,98347.53,0.848
2025-09-01,Switzerland,Core Policy,69096.41,0.829
2025-09-01,Switzerland,Claims Analytics,97027.58,0.881
2025-09-01,Switzerland,Risk Platform,99722.56,0.878
2025-09-01,Switzerland,Service Desk,67544.84,0.894
2025-10-01,Germany,Core Policy,94305.95,0.899
2025-10-01,Germany,Claims Analytics,54493.85,0.843
2025-10-01,Germany,Risk Platform,101216.08,0.829
2025-10-01,Germany,Service Desk,84477.75,0.847
2025-10-01,France,Core Policy,56874.58,0.863
2025-10-01,France,Claims Analytics,102994.63,0.915
2025-10-01,France,Risk Platform,99713.92,0.892
2025-10-01,France,Service Desk,86986.71,0.87
2025-10-01,Netherlands,Core Policy,86828.88,0.874
2025-10-01,Netherlands,Claims Analytics,99398.57,0.857
2025-10-01,Netherlands,Risk Platform,93446.05,0.828
2025-10-01,Netherlands,Service Desk,106437.85,0.835
2025-10-01,Austria,Core Policy,105341.87,0.855
2025-10-01,Austria,Claims Analytics,103425.68,0.834
2025-10-01,Austria,Risk Platform,108191.41,0.834
2025-10-01,Austria,Service Desk,64325.39,0.866
2025-10-01,Switzerland,Core Policy,91792.43,0.821
2025-10-01,Switzerland,Claims Analytics,84775.37,0.906
2025-10-01,Switzerland,Risk Platform,71301.12,0.859
2025-10-01,Switzerland,Service Desk,78284.69,0.841
2025-11-01,Germany,Core Policy,89706.9,0.831
2025-11-01,Germany,Claims Analytics,66567.08,0.894
2025-11-01,Germany,Risk Platform,97663.45,0.907
2025-11-01,Germany,Service Desk,76793.41,0.917
2025-11-01,France,Core Policy,47115.49,0.885
2025-11-01,France,Claims Analytics,85407.78,0.828
2025-11-01,France,Risk Platform,110211.22,0.836
2025-11-01,France,Service Desk,93245.56,0.921
2025-11-01,Netherlands,Core Policy,78515.49,0.906
2025-11-01,Netherlands,Claims Analytics,51319.19,0.887
2025-11-01,Netherlands,Risk Platform,80305.1,0.897
2025-11-01,Netherlands,Service Desk,66378.62,0.827
2025-11-01,Austria,Core Policy,73758.89,0.925
2025-11-01,Austria,Claims Analytics,69868.95,0.923
2025-11-01,Austria,Risk Platform,121505.03,0.884
2025-11-01,Austria,Service Desk,67901.31,0.872
2025-11-01,Switzerland,Core Policy,83045.18,0.824
2025-11-01,Switzerland,Claims Analytics,67299.23,0.907
2025-11-01,Switzerland,Risk Platform,98276.49,0.876
2025-11-01,Switzerland,Service Desk,98165.33,0.927
2025-12-01,Germany,Core Policy,79068.86,0.872
2025-12-01,Germany,Claims Analytics,96116.58,0.859
2025-12-01,Germany,Risk Platform,102820.92,0.851
2025-12-01,Germany,Service Desk,71745.68,0.888
2025-12-01,France,Core Policy,81762.69,0.904
2025-12-01,France,Claims Analytics,85391.13,0.832
2025-12-01,France,Risk Platform,93196.78,0.822
2025-12-01,France,Service Desk,52827.21,0.86
2025-12-01,Netherlands,Core Policy,60792.75,0.853
2025-12-01,Netherlands,Claims Analytics,80655.64,0.895
2025-12-01,Netherlands,Risk Platform,85082.03,0.921
2025-12-01,Netherlands,Service Desk,81830.8,0.919
2025-12-01,Austria,Core Policy,62032.9,0.854
2025-12-01,Austria,Claims Analytics,103391.88,0.838
2025-12-01,Austria,Risk Platform,70723.16,0.936
2025-12-01,Austria,Service Desk,116636.22,0.829
2025-12-01,Switzerland,Core Policy,59004.58,0.878
2025-12-01,Switzerland,Claims Analytics,73576.89,0.907
2025-12-01,Switzerland,Risk Platform,71540.06,0.84
2025-12-01,Switzerland,Service Desk,97146.07,0.862
